iter	Passed	Remaining
0	41	8231
1	87	8632
2	126	8339
3	168	8258
4	255	9970
5	295	9566
6	333	9191
7	388	9316
8	429	9114
9	466	8869
10	527	9071
11	566	8876
12	650	9352
13	765	10168
14	814	10047
15	856	9847
16	890	9590
17	927	9375
18	972	9264
19	1040	9368
20	1077	9188
21	1117	9041
22	1157	8907
23	1194	8762
24	1253	8771
25	1295	8667
26	1357	8695
27	1396	8576
28	1437	8477
29	1474	8357
30	1512	8244
31	1552	8148
32	1588	8038
33	1625	7936
34	1662	7839
35	1699	7742
36	1738	7657
37	1793	7647
38	1881	7765
39	1957	7830
40	2002	7764
41	2039	7672
42	2079	7591
43	2120	7518
44	2156	7427
45	2190	7332
46	2253	7335
47	2298	7278
48	2336	7199
49	2370	7110
50	2403	7020
51	2440	6945
52	2478	6873
53	2515	6800
54	2556	6738
55	2600	6686
56	2677	6717
57	2698	6605
58	2735	6538
59	2769	6461
60	2823	6434
61	2865	6377
62	2905	6319
63	2956	6282
64	3004	6240
65	3042	6178
66	3086	6126
67	3122	6060
68	3167	6013
69	3205	5953
70	3238	5884
71	3276	5824
72	3310	5760
73	3342	5691
74	3377	5628
75	3410	5565
76	3444	5502
77	3478	5440
78	3515	5384
79	3553	5330
80	3586	5268
81	3621	5211
82	3660	5159
83	3736	5160
84	3785	5122
85	3826	5072
86	3880	5040
87	3954	5032
88	4026	5021
89	4087	4996
90	4225	5061
91	4308	5058
92	4352	5008
93	4396	4957
94	4429	4896
95	4463	4835
96	4498	4776
97	4533	4718
98	4570	4662
99	4607	4607
100	4643	4551
101	4680	4497
102	4787	4508
103	4857	4483
104	4906	4439
105	4974	4411
106	5026	4368
107	5077	4325
108	5127	4280
109	5172	4231
110	5214	4180
111	5256	4130
112	5306	4085
113	5353	4038
114	5393	3986
115	5474	3964
116	5536	3927
117	5601	3892
118	5637	3837
119	5680	3786
120	5719	3734
121	5760	3683
122	5800	3631
123	5834	3576
124	5870	3522
125	5906	3468
126	5940	3414
127	5973	3360
128	6012	3309
129	6044	3254
130	6082	3204
131	6120	3152
132	6173	3110
133	6223	3065
134	6263	3015
135	6300	2965
136	6335	2913
137	6373	2863
138	6419	2817
139	6459	2768
140	6505	2722
141	6582	2688
142	6653	2652
143	6708	2608
144	6778	2571
145	6841	2530
146	6922	2496
147	6970	2448
148	7037	2408
149	7083	2361
150	7131	2314
151	7169	2263
152	7204	2213
153	7245	2164
154	7283	2114
155	7327	2066
156	7366	2017
157	7409	1969
158	7450	1921
159	7491	1872
160	7531	1824
161	7570	1775
162	7609	1727
163	7645	1678
164	7684	1630
165	7724	1582
166	7765	1534
167	7805	1486
168	7844	1438
169	7881	1390
170	7972	1352
171	8027	1306
172	8097	1263
173	8159	1219
174	8199	1171
175	8239	1123
176	8284	1076
177	8323	1028
178	8361	980
179	8428	936
180	8477	889
181	8517	842
182	8555	794
183	8593	747
184	8645	701
185	8694	654
186	8751	608
187	8799	561
188	8841	514
189	8879	467
190	8921	420
191	8961	373
192	8997	326
193	9034	279
194	9071	232
195	9108	185
196	9148	139
197	9190	92
198	9229	46
199	9270	0
